community_area,hs_diploma_or_higher,bachelors_or_higher,zip_codes,median_household_income,population,latitude,longitude
Rogers Park,84.2,41.9,"60626, 60645","37,223",54402,42.0100°N,87.6700°W
West Ridge,82.17,39.30,"60645, 60659","52,039",77212,42.000°N,87.6900°W
Uptown,89.86,54.84,"60613, 60640","51,889",58424,41.9700°N,87.6600°W
Lincoln Square,92.96,62.35,"60625, 60640","73,621","41,713",41.9700°N,87.6900°W
North Center,94.55,73.61,"60613, 60618, 60657","115,756",35705,41.950°N,87.6800°W
Lakeview,98.01,80.57,"60613, 60657","89,276",100547,41.94350°N,87.65417°W
Lincoln Park,97.88,84.30,60614,"108,875","68,697",41.9200°N,87.650°W
Near North Side,97.94,80.63,"60611, 60610,, 60654, 60642","99,732",89995,41.900°N,87.6300°W
Edison Park,94.8,46.3,60631,"86,300","11,208",42.0100°N,87.8100°W
Norwood Park,92.2,35.2,"60631, 60646, 60656","71,282",36651,41.9800°N,87.8000°W
Jefferson Park,89.54,36.41,"60630, 60646","76,054",27989,41.9800°N,87.7700°W
Forest Glen,94.5,58.5,"60630, 60646","101,559","18,459",41.983°N,87.750°W
North Park,86.96,46.25,"60625, 60646, 60659","54,828",18451,41.9500°N,87.6800°W
Albany Park,78.59,35.19,"60625, 60630","59,883",50343,41.9700°N,87.7200°W
Portage Park,nan,nan,"60630, 60634, 60641","66,309",64954,41.950°N,87.7600°W
Irving Park,nan,nan,"60618, 60630, 60641","64,598","53,665",41.950°N,87.7300°W
Dunning,nan,nan,"60634, 60635, 60707","59,737","43,025",41.950°N,87.8100°W
Montclare,nan,nan,"60634, 60707","43,015","13,024",41.9300°N,87.800°W
Belmont Cragin,nan,nan,"60634, 60635, 60639, 60641","50,767",80648,41.9300°N,87.7600°W
Hermosa,nan,nan,"60639, 60641, 60647","39,157","25,489",41.9200°N,87.7300°W
Avondale,78.44,35.18,60618,"60,000",37909,41.9400°N,87.7100°W
Logan Square,nan,nan,"60614, 60618, 60622, 60639, 60647","75,333",72724,41.9283°N,87.7067°W
Humboldt Park,nan,nan,"60622, 60624, 60647,, 60651.",nan,55011,41.8800°N,87.700°W
West Town,82.88,69.07,"60612, 60622, 60642, 60647","96,499",84255,41.900°N,87.6800°W
Austin,nan,nan,"60644 , 60639, 60651, 60707","31,634",97643,41.900°N,87.7600°W
West Garfield Park,nan,nan,60624,"23,947","17,742",41.8800°N,87.7300°W
East Garfield Park,nan,nan,"60612, 60624","21,482","20,656",41.8800°N,87.700°W
Near West Side,92.54,67.37,"60606, 60607, 60608, 60610, 60612, 60661","83,575",62733,41.8700°N,87.6700°W
North Lawndale,nan,nan,"60608, 60623, 60624","26,781",33854,41.8600°N,87.7100°W
South Lawndale Little Village,nan,nan,"60608, 60623","30,701",73826,41.8500°N,87.7100°W
Lower West Side Pilsen,nan,nan,"60608, 60616","45,204",34410,41.850°N,87.6600°W
The Loop,98.62,79.34,"60601, 60602, 60603, 60604,, 60605, 60606, 60607,, 60616","107,246",37647,41.88194°N,87.62778°W
Near South Side,nan,nan,"60605, 60607, 60616","100,720",24343,41.85778°N,87.62389°W
Armour Square,nan,nan,"60609, 60616","27,464",13779,41.8333°N,87.6333°W
Douglas,nan,nan,"60609, 60616, 60653","31,509",21268,41.83472°N,87.62056°W
Oakland,nan,nan,60653,"28,436",6422,41.8200°N,87.6000°W
Fuller Park,nan,nan,60609,"22,920",2399,41.8100°N,87.6267°W
Grand Boulevard,nan,nan,"60609, 60615, 60653","32,348",22784,41.8100°N,87.6200°W
Kenwood,nan,nan,"60615, 60653","49,161",17440,41.8100°N,87.6000°W
Washington Park,nan,nan,"60609, 60615, 60621, 60637","27,458",11355,41.7900°N,87.6200°W
Hyde Park,96.77,75.00,"60615, 60637","54,140",27517,41.800°N,87.5900°W
Woodlawn,nan,nan,60637,"26,415",22925,41.7800°N,87.600°W
South Shore,nan,nan,"60649, 60619, 60637","26,425",51451,41.7600°N,87.5800°W
Chatham,nan,nan,"60619, 60620","32,222","31,392",41.74000°N,87.61167°W
Avalon Park,nan,nan,"60617, 60619","41,531",9780,41.750°N,87.5900°W
South Chicago,nan,nan,60617,"28,504","28,095",41.7400°N,87.550°W
Burnside,nan,nan,60619,"23,632","2,254",41.7300°N,87.600°W
Calumet Heights,nan,nan,"60617, 60619","49,923","13,732",41.72833°N,87.57972°W
Roseland,nan,nan,"60619, 60620, 60628","37,242","42,505",41.7100°N,87.6200°W
Pullman,nan,nan,60628,"36,728",6501,41.7100°N,87.6200°W
South Deering,nan,nan,"60617, 60633","35,056","15,305",41.7100°N,87.5600°W
East Side,nan,nan,60617,"43,421",23784,41.7000°N,87.5600°W
West Pullman,nan,nan,"60628, 60643","33,898","27,982",41.6800°N,87.6300°W
Riverdale,nan,nan,"60628, 60633, 60827","13,518","7,262",41.6600°N,87.6100°W
Hegewisch,nan,nan,60633,"50,338","8,985",41.6600°N,87.5500°W
Garfield Ridge,nan,nan,"60629, 60632, 60638",nan,36396,41.8167°N,87.7600°W
Archer Heights,nan,nan,60632,"44,109",13055,41.8100°N,87.7300°W
Brighton Park,nan,nan,60632,"41,176","45,031",41.8200°N,87.7000°W
McKinley Park,nan,nan,"60608, 60609","46,112",15920,41.830°N,87.670°W
Bridgeport,nan,nan,"60608, 60609, 60616","50,580",33828,41.83750°N,87.64750°W
New City Back of the Yards/Canaryville,nan,nan,60609,"33,227",39463,41.8100°N,87.6600°W
West Elsdon,nan,nan,"60629, 60632","55,380","19,363",41.7900°N,87.7200°W
Gage Park,nan,nan,"60609, 60629, 60632, 60636","41,182","39,302",41.7900°N,87.6900°W
Clearing,nan,nan,"60629, 60638","60,624","24,962",41.7800°N,87.7600°W
West Lawn,nan,nan,60629,"50,384","32,749",41.7700°N,87.7200°W
Chicago Lawn,nan,nan,"60629, 60636","33,122","55,551",41.7700°N,87.6900°W
West Englewood,nan,nan,60636,"27,399","32,156",41.77583°N,87.66417°W
Englewood,nan,nan,60621,"21,275",23792,41.78000°N,87.64500°W
Greater Grand Crossing,nan,nan,"60619, 60620, 60621, 60637","26,515",32346,41.7600°N,87.6100°W
Ashburn,nan,nan,60652,"63,573",42752,41.7500°N,87.7100°W
Auburn Gresham,nan,nan,60620,"29,389",45842,41.7400°N,87.6600°W
Beverly,nan,nan,"60620, 60643, 60655","98,416",20437,41.7100°N,87.6800°W
Washington Heights,nan,nan,"60620, 60628, 60643",nan,27453,41.70383°N,87.65367°W
Mount Greenwood,nan,nan,60655,"89,536","18,783",41.7000°N,87.7100°W
Morgan Park,nan,nan,"60643, 60655","60,747","22,924",41.6900°N,87.6700°W
O'Hare,88.96,36.21,"60656, 60666","49,295",12377,42.0000°N,87.9200°W
Edgewater,nan,nan,"60660,60640","53,183",57022,41.9900°N,87.6600°W
